# Logfile created on Tue Jul 27 18:36:07 +0000 2010 by logger.rb/22285
I, [2010-07-27T18:36:07.857217 #9014]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=MY51-ec2-east-418214-RightImage_Ubuntu_9.10_i386_v4.5&
I, [2010-07-27T18:37:19.994124 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:20.024962 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:23.334103 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:23.368566 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:25.144154 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:25.178469 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:28.474130 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:28.509809 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:30.344173 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:30.374922 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:33.674131 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:33.715076 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:35.614122 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:35.647109 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:38.844161 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:38.905164 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:40.774169 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:40.808421 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:44.014175 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
